Date,Open,High,Low,Close,Adj Close,Volume
2017-08-18,242.899994,244.190002,242.199997,242.710007,216.636139,136748000
2017-08-21,242.639999,243.199997,241.830002,242.899994,216.805649,65469700
2017-08-22,243.570007,245.619995,243.550003,245.440002,219.072845,63140100
2017-08-23,244.330002,245.050003,244.160004,244.559998,218.287384,50203800
2017-08-24,245.0,245.179993,243.75,243.990005,217.778595,50741700
2017-08-25,244.899994,245.610001,244.389999,244.559998,218.287384,64445900
2017-08-28,245.169998,245.199997,244.089996,244.570007,218.296295,40565600
2017-08-29,243.059998,245.149994,242.929993,244.850006,218.546219,51135700
2017-08-30,244.830002,246.320007,244.619995,246.009995,219.581589,62030800
2017-08-31,246.720001,247.770004,246.050003,247.490005,220.902618,103803900
2017-09-01,247.919998,248.330002,247.669998,247.839996,221.215012,62007000
2017-09-05,247.259995,247.520004,244.949997,246.059998,219.62619,91398800
2017-09-06,246.839996,247.279999,246.229996,246.899994,220.376007,57916900
2017-09-07,247.25,247.270004,246.399994,246.869995,220.349197,58034700
2017-09-08,246.539993,247.110001,246.300003,246.580002,220.090378,63832800
2017-09-11,248.039993,249.300003,248.020004,249.210007,222.43782,71364800
2017-09-12,249.630005,250.089996,249.419998,250.050003,223.187592,56896000
2017-09-13,249.720001,250.210007,249.589996,250.169998,223.294678,59228000
2017-09-14,249.800003,250.320007,249.600006,250.089996,223.223297,95446300
2017-09-15,248.690002,249.289993,248.570007,249.190002,223.523804,95432400
2017-09-18,249.610001,250.119995,249.279999,249.720001,223.999207,46235200
2017-09-19,250.0,250.070007,249.600006,249.970001,224.223434,47108100
2017-09-20,250.070007,250.190002,248.919998,250.059998,224.304153,59574100
2017-09-21,249.880005,249.979996,249.190002,249.389999,223.703171,48211400
2017-09-22,249.050003,249.630005,249.020004,249.440002,223.748062,51214000
2017-09-25,249.149994,249.550003,248.080002,248.929993,223.290543,57064400
2017-09-26,249.419998,249.699997,248.809998,249.080002,223.42511,54082000
2017-09-27,249.880005,250.490005,248.869995,250.050003,224.295227,81001400
2017-09-28,249.729996,250.440002,249.630005,250.350006,224.564285,44778800
2017-09-29,250.339996,251.320007,250.130005,251.229996,225.353653,85578000
2017-10-02,251.490005,252.320007,251.289993,252.320007,226.331436,59023000
2017-10-03,252.320007,252.889999,252.229996,252.860001,226.815781,66810200
2017-10-04,252.690002,253.440002,252.559998,253.160004,227.084915,55953600
2017-10-05,253.539993,254.679993,253.199997,254.660004,228.430405,63522800
2017-10-06,254.149994,254.699997,253.850006,254.369995,228.170258,80646000
2017-10-09,254.630005,254.699997,253.649994,253.949997,227.793488,35803100
2017-10-10,254.600006,255.050003,253.979996,254.619995,228.394485,43057400
2017-10-11,254.509995,255.020004,254.320007,255.020004,228.753296,47674300
2017-10-12,254.660004,255.059998,254.369995,254.639999,228.412445,47065100
2017-10-13,255.139999,255.270004,254.639999,254.949997,228.690521,54800400
2017-10-16,255.210007,255.509995,254.820007,255.289993,228.995499,38221700
2017-10-17,255.229996,255.520004,254.979996,255.470001,229.156967,31561000
2017-10-18,255.899994,255.949997,255.5,255.720001,229.38121,40888300
2017-10-19,254.830002,255.830002,254.350006,255.789993,229.444016,61903800
2017-10-20,256.700012,257.140015,255.770004,257.109985,230.628021,89176400
2017-10-23,257.480011,257.51001,256.019989,256.109985,229.731033,63915300
2017-10-24,256.600006,256.829987,256.149994,256.559998,230.134659,66935900
2017-10-25,256.179993,256.309998,254.0,255.289993,228.995499,103715300
2017-10-26,255.990005,256.299988,255.479996,255.619995,229.291489,69798000
